variant,mae_mean,mfe_mean,mae_winners,mae_losers,mfe_winners,mfe_losers,profit_captured_pct,avg_win,avg_loss
current_production,23.441321044546832,32.73384024577573,7.728667113194893,28.117221447079913,80.94079035498994,18.38802072951964,87.3,70.66353458999147,20.6659884962556
rr_1_2,20.60280588776447,23.819242563630787,7.82131423757368,27.91796046287367,46.37240943555182,10.911523625843774,76.0,35.24301359971116,20.80595467695276
rr_1_25,21.509521619135217,26.499003373198406,7.898428571428534,27.973405698778823,55.35657142857142,12.794595205789234,80.23,44.40987244897961,20.751642760224865
rr_1_3,22.124877300613477,28.888450920245404,7.83812270582063,28.03097767179708,63.886733088620886,14.420268805549536,83.37,53.26463592778489,20.736997150908937
rr_1_35,22.85058317986493,30.856706568446906,7.7214964370546095,28.123220198675476,72.06330166270786,16.495798841059607,85.9,61.90234560570075,20.708960353595092
rr_1_4,23.441321044546832,32.73384024577573,7.728667113194893,28.117221447079913,80.94079035498994,18.38802072951964,87.3,70.66353458999147,20.6659884962556
trailing_atr,16.49504753143206,20.615562710824896,6.2229632945389355,21.846688432835805,41.89180841539836,9.530876865671653,42.73,17.90005818331165,14.921348043163158
trailing_ema,28.378807606647243,31.448243960938857,0.0,28.378807606647243,0.0,31.448243960938857,0.0,0.0,20.417518784111227
dynamic_atr,16.49504753143206,20.615562710824896,6.2229632945389355,21.846688432835805,41.89180841539836,9.530876865671653,42.73,17.90005818331165,14.921348043163158
break_even,15.616268015946021,18.78957375038332,7.795289575289562,27.13864239666287,28.80471042471043,4.034622677284787,83.7,24.11004990842492,11.220494616226182
partial_close,16.65026613439785,29.872244400088714,7.63881025641022,27.253898141443393,46.018092307692314,10.873690562394405,69.29,31.884370857025026,20.039624952883543
trailing_donchian,15.060717571297142,23.617065317387286,5.039147040101796,18.240658452837817,65.65811584977715,10.277034942435867,51.61,33.88653333333321,12.354103373727073
time_exit,22.94101502606561,36.191168353265866,8.968877867327937,27.53198207374209,94.00347179169246,17.195192503564893,64.7,60.821695760598516,19.952325277406615
