rank,variant,profit_factor,winrate,total_pips,max_drawdown,sharpe,sortino,calmar,ulcer_index,recovery_factor,expectancy,avg_win,avg_loss,mae_mean,mfe_mean,mae_winners,mfe_winners,profit_captured_pct,avg_duration_bars,longest_loss_streak,wf_stability,mc_prob_ruin,mc_prob_profit,stability_score
1,partial_close,2.077448676188157,55.8796,1469997.4351,55011.8987,0.3106,0.645192925722701,26.72144518516737,15093.754046302794,26.72144518516737,456.0960083994503,1574.6273235714286,958.7714317337617,751.6958768228355,1536.4047797083467,352.9152382009992,2291.2283470294283,68.72,16.350605026372943,42,STABLE,0.0,1.0,56.43
2,current_production,1.1887706579322925,45.3077,313677.5799,72407.1621,0.0788,0.12881710667158142,4.332134707167575,31097.710821572924,4.332134707167575,136.9173198852654,1903.0478687035506,1326.1660876752933,1113.8151907463987,1411.6846761239638,507.4307292870903,2316.7867148362234,82.14,22.860323003055434,31,MARGINAL,0.0,1.0,33.41
3,rr_1_2,1.089603917300363,36.7801,129672.1554,90187.9363,0.0381,0.06549208756146972,1.4377993409932668,39794.63201223171,1.4377993409932668,56.57598401271505,1870.513359430605,998.7374787045253,940.8172901396158,1223.248301919721,350.7442894424671,2293.899023724792,81.54,16.344677137870857,31,UNSTABLE,0.025,0.954,13.17
4,trailing_donchian,1.11926248238332,31.8519,120855.562,117817.5272,0.0362,0.08197529531129812,1.025785932655202,65204.731230127836,1.025785932655202,52.660375599128756,1557.9853324175833,646.6865092533504,732.7242126361651,1424.2383786492378,281.6173584131324,3303.2136388508893,47.17,13.839651416122004,45,UNSTABLE,0.0355,0.9415,8.8
5,rr_1_4,1.0735331759043283,22.3301,127728.7965,118354.7079,0.0271,0.059751502163260105,1.0792033440205169,54994.535285126454,1.0792033440205169,56.36751831420997,3685.279657538114,986.9447217126623,1077.986617828773,1658.5076332744927,378.38076284584974,4152.218820158103,88.75,28.482789055604588,85,MARGINAL,0.1555,0.811,2.15
6,rr_1_35,1.0595720291749624,24.2637,101193.2764,108759.6289,0.0229,0.04776908130895352,0.9304305041483635,54836.98897925212,0.9304305041483635,44.480561043955895,3260.6236283967387,985.8798412652351,1059.5113296703294,1583.6226439560442,379.91222463768105,3783.6565942028988,86.18,26.44043956043956,83,MARGINAL,0.25,0.7225,0.0
7,rr_1_3,1.0287307753153379,26.6988,47497.3637,110063.8003,0.0116,0.022646806318523997,0.43154391899050754,56759.63857803715,0.43154391899050754,20.823044153566695,2792.586274454609,988.7486109022556,1039.9352704953965,1465.2059096887333,380.4410755336616,3243.5505336617407,86.1,23.87768522577817,82,MARGINAL,0.638,0.352,0.0
8,rr_1_25,1.025948267264248,30.3853,40940.7072,116364.8334,0.0109,0.019911776834357374,0.3518305834516265,56112.27136379258,0.3518305834516265,17.925003166437353,2332.4533693135036,992.3156799191374,1001.7099181260944,1335.218130472855,369.61926945244943,2720.1711167146977,85.75,19.996497373029772,58,UNSTABLE,0.6725,0.3215,0.0
9,break_even,0.8137818717844173,62.2222,-161732.8527,182508.3274,-0.0631,-0.10488629596060019,-0.8861669768368312,124568.9547851944,-0.8861669768368312,-70.47183124805483,494.94403381352544,1001.7450207612459,700.3806313725489,984.1384069716779,341.1384306722688,1469.249940476191,33.69,9.738997821350763,17,UNSTABLE,0.9605,0.0015,0.0
10,time_exit,1.0162511476272693,30.0654,24768.0009,221482.1324,0.0058,0.012325886931083434,0.11182843792078209,109271.88456766319,0.11182843792078209,10.792157251789575,2244.7029507246375,949.5807072318646,997.4678749455334,1761.4799821350766,412.0180840579706,3898.5667521739138,57.58,24.728976034858388,54,UNSTABLE,0.8385,0.1605,0.0
11,trailing_atr,0.6429730674636713,36.9063,-375761.865,407794.3974,-0.1711,-0.23860485100611495,-0.9214493073913325,287408.8795266436,-0.9214493073913325,-163.73066014628083,799.8971379601485,726.3456478605935,740.6419525054463,1072.9869071895428,268.8139362455722,2075.26838961039,38.54,10.35511982570806,50,UNSTABLE,1.0,0.0,0.0
12,dynamic_atr,0.6429730674636713,36.9063,-375761.865,407794.3974,-0.1711,-0.23860485100611495,-0.9214493073913325,287408.8795266436,-0.9214493073913325,-163.73066014628083,799.8971379601485,726.3456478605935,740.6419525054463,1072.9869071895428,268.8139362455722,2075.26838961039,38.54,10.35511982570806,50,UNSTABLE,1.0,0.0,0.0
13,trailing_ema,0.0,0.0,-1918977.6574,1918977.6574,-2.4192,-0.9241593984083423,-1.0000000000000004,1131001.5252175082,-1.0000000000000004,-975.5859976759386,0.0,975.5859976759386,1321.0349796644634,1441.9503945094054,0.0,0.0,0.0,33.4087442806304,1967,UNSTABLE,1.0,0.0,0.0
