variant,mae_mean,mfe_mean,mae_winners,mae_losers,mfe_winners,mfe_losers,profit_captured_pct,avg_win,avg_loss
current_production,1113.8151907463987,1411.6846761239638,507.4307292870903,1616.151241021548,2316.7867148362234,661.8874565043899,82.14,1903.0478687035506,1326.1660876752933
rr_1_2,940.8172901396158,1223.248301919721,350.7442894424671,1284.110278122843,2293.899023724792,600.3645486542446,81.54,1870.513359430605,998.7374787045253
rr_1_25,1001.7099181260944,1335.218130472855,369.61926945244943,1277.6035723270438,2720.1711167146977,730.7166383647802,85.75,2332.4533693135036,992.3156799191374
rr_1_3,1039.9352704953965,1465.2059096887333,380.4410755336616,1280.1457757177031,3243.5505336617407,817.4715340909094,86.1,2792.586274454609,988.7486109022556
rr_1_35,1059.5113296703294,1583.6226439560442,379.91222463768105,1277.235477074869,3783.6565942028988,878.7945879280328,86.18,3260.6236283967387,985.8798412652351
rr_1_4,1077.986617828773,1658.5076332744927,378.38076284584974,1279.1233011363636,4152.218820158103,941.5656670454548,88.75,3685.279657538114,986.9447217126623
trailing_atr,740.6419525054463,1072.9869071895428,268.8139362455722,1016.6352741712705,2075.26838961039,486.70761464088423,38.54,799.8971379601485,726.3456478605935
trailing_ema,1321.0349796644634,1441.9503945094054,0.0,1321.0349796644634,0.0,1441.9503945094054,0.0,0.0,975.5859976759386
dynamic_atr,740.6419525054463,1072.9869071895428,268.8139362455722,1016.6352741712705,2075.26838961039,486.70761464088423,38.54,799.8971379601485,726.3456478605935
break_even,700.3806313725489,984.1384069716779,341.1384306722688,1292.073667820069,1469.249940476191,185.1311753171859,33.69,494.94403381352544,1001.7450207612459
partial_close,751.6958768228355,1536.4047797083467,352.9152382009992,1256.7619317862163,2291.2283470294283,580.4010914205348,68.72,1574.6273235714286,958.7714317337617
trailing_donchian,732.7242126361651,1424.2383786492378,281.6173584131324,943.567633631713,3303.2136388508893,546.0216809462919,47.17,1557.9853324175833,646.6865092533504
time_exit,997.4678749455334,1761.4799821350766,412.0180840579706,1249.1565700934575,3898.5667521739138,842.7323987538944,57.58,2244.7029507246375,949.5807072318646
