variant,mae_mean,mfe_mean,mae_winners,mae_losers,mfe_winners,mfe_losers,profit_captured_pct,avg_win,avg_loss
current_production,2391.6239220097486,3506.4435695538045,940.8090717299566,3191.7242582897034,6645.732067510547,1775.1780104712025,87.6,5821.695072332729,2394.9994598188323
rr_1_2,1808.3627194620844,2385.7878221890164,682.5367924528291,2546.380952380953,4340.610377358491,1104.3333333333317,83.45,3622.128436657683,1782.477272727273
rr_1_25,1906.339693228582,2657.6980920314245,694.2145144076829,2560.5800691244244,5083.736392742796,1348.2523041474635,86.66,4405.345746302789,1804.4249506254118
rr_1_3,1970.556179775281,2951.3052434456913,700.4160583941593,2535.5211038961047,6107.030413625303,1547.6222943722926,86.65,5292.04614181439,1796.4504290352509
rr_1_35,2022.8558052434457,3200.5535580524324,746.4319999999983,2521.458854166667,7095.6333333333305,1679.0380208333313,87.96,6241.381499999998,1787.8227678571432
rr_1_4,2051.647544056993,3393.3715785526797,765.4449152542355,2516.4925982644213,7911.751412429378,1760.3889739663075,89.91,7113.082324455203,1783.3393130605998
trailing_atr,1396.363466567053,2169.8315278296595,538.3333333333329,1952.709359605912,4102.71225071225,916.5535714285703,43.14,1769.9664584464979,1240.4803296703303
trailing_ema,2660.0022036139267,3855.832966064344,0.0,2660.0022036139267,0.0,3855.832966064344,0.0,0.0,1800.2998488950452
dynamic_atr,1396.363466567053,2169.8315278296595,538.3333333333329,1952.709359605912,4102.71225071225,916.5535714285703,43.14,1769.9664584464979,1240.4803296703303
break_even,1376.3451624953307,1942.4467687710116,667.9355026147592,2651.6307531380753,2801.9296920395113,395.19769874476873,40.36,1130.9420312110904,1843.3281903765687
partial_close,1409.527475375842,2960.2185069984444,676.6028770706176,2484.546035805627,4252.5675675675675,1064.6630434782594,73.07,3107.188441898119,1700.6882307270737
trailing_donchian,1485.5072842734407,2978.1632424355603,663.5466804979236,1948.0700525394059,6277.238589211616,1121.5907764156434,46.24,2902.2956431535295,1208.0786006171302
time_exit,2066.1176690324987,3674.874859917817,802.2496894409926,2609.607905982906,7750.824844720497,1922.1292735042719,62.98,4881.7164179104475,1769.4366371748918
