rank,variant,profit_factor,winrate,total_pips,max_drawdown,sharpe,sortino,calmar,ulcer_index,recovery_factor,expectancy,avg_win,avg_loss,mae_mean,mfe_mean,mae_winners,mfe_winners,profit_captured_pct,avg_duration_bars,longest_loss_streak,wf_stability,mc_prob_ruin,mc_prob_profit,stability_score
1,partial_close,2.6797825285624506,59.4609,4468013.8929,102226.7143,0.2985,0.7158073858800382,43.70691089972277,14869.773015380584,43.70691089972277,1158.1166129748945,3107.188441898119,1700.6882307270737,1409.527475375842,2960.2185069984444,676.6028770706176,4252.5675675675675,73.07,14.77734577501296,27,STABLE,0.0,1.0,67.17
2,rr_1_2,1.332096508747378,39.5966,957190.3929,180013.3929,0.097,0.1787108630282781,5.317328770180795,39152.31597638955,5.317328770180795,357.56084903143187,3622.128436657683,1782.477272727273,1808.3627194620844,2385.7878221890164,682.5367924528291,4340.610377358491,83.45,14.95629435935749,28,MARGINAL,0.0,1.0,35.51
3,rr_1_4,1.4415266417424502,26.5467,1542500.5714,332391.6429,0.109,0.26266114792891315,4.6406117740195665,88572.6387059416,4.6406117740195665,578.3654186083872,7113.082324455203,1783.3393130605998,2051.647544056993,3393.3715785526797,765.4449152542355,7911.751412429378,89.91,26.169853768278966,57,UNSTABLE,0.0,1.0,31.0
4,trailing_donchian,1.3519671190334195,36.0105,728374.3571,204080.0,0.0806,0.170159547319876,3.569062902503232,50749.506729578454,3.569062902503232,272.08605048295044,2902.2956431535295,1208.0786006171302,1485.5072842734407,2978.1632424355603,663.5466804979236,6277.238589211616,46.24,14.206948076204707,40,MARGINAL,0.0,1.0,28.17
5,current_production,1.3405298690065135,35.5456,1401962.8571,419112.3571,0.0989,0.1878401387830574,3.345076405525749,97188.52526482382,3.345076405525749,525.6703626332412,5821.695072332729,2394.9994598188323,2391.6239220097486,3506.4435695538045,940.8090717299566,6645.732067510547,87.6,29.88713910761155,53,MARGINAL,0.0,1.0,27.0
6,rr_1_35,1.363692023767935,28.0899,1248416.4107,333030.1607,0.0959,0.21357026972404303,3.7486587041746278,89264.07565194803,3.7486587041746278,467.57168940609836,6241.381499999998,1787.8227678571432,2022.8558052434457,3200.5535580524324,746.4319999999983,7095.6333333333305,87.96,23.88689138576779,56,UNSTABLE,0.0,1.0,26.17
7,rr_1_25,1.317743993671471,35.0542,995327.25,302329.7679,0.0905,0.17810117614457474,3.2921906997603743,61949.34462437664,3.2921906997603743,372.3633557800218,4405.345746302789,1804.4249506254118,1906.339693228582,2657.6980920314245,694.2145144076829,5083.736392742796,86.66,18.11821922933034,32,MARGINAL,0.0,1.0,26.14
8,rr_1_3,1.3103226100660967,30.7865,1030221.5357,348205.8214,0.0876,0.17784264776332162,2.958656841197058,74316.62456171477,2.958656841197058,385.85076243980683,5292.04614181439,1796.4504290352509,1970.556179775281,2951.3052434456913,700.4160583941593,6107.030413625303,86.65,21.2063670411985,41,MARGINAL,0.0,1.0,22.47
9,break_even,1.1044871258196007,64.2884,184129.4857,175853.7071,0.0225,0.04156022032911963,1.0470605863583375,75712.4929224713,1.0470605863583375,68.78202678905,1130.9420312110904,1843.3281903765687,1376.3451624953307,1942.4467687710116,667.9355026147592,2801.9296920395113,40.36,9.526335450130743,20,UNSTABLE,0.214,0.7485,16.61
10,time_exit,1.1842838405202099,30.071,610745.1786,413893.0,0.0479,0.10713034716189619,1.4756112777249824,134058.138657215,1.4756112777249824,228.14537862212438,4881.7164179104475,1769.4366371748918,2066.1176690324987,3674.874859917817,802.2496894409926,7750.824844720497,62.98,25.193126634292117,57,OVERFITTED,0.002,0.992,1.5199999999999996
11,trailing_atr,0.9237140062104624,39.3351,-153775.8214,222312.8214,-0.021,-0.035885797891617624,-0.6917091890625804,142941.29568376826,-0.6917091890625804,-57.4433400928543,1769.9664584464979,1240.4803296703303,1396.363466567053,2169.8315278296595,538.3333333333329,4102.71225071225,43.14,9.921180425849832,41,UNSTABLE,0.8725,0.0945,0.0
12,dynamic_atr,0.9237140062104624,39.3351,-153775.8214,222312.8214,-0.021,-0.035885797891617624,-0.6917091890625804,142941.29568376826,-0.6917091890625804,-57.4433400928543,1769.9664584464979,1240.4803296703303,1396.363466567053,2169.8315278296595,538.3333333333329,4102.71225071225,43.14,9.921180425849832,41,UNSTABLE,0.8725,0.0945,0.0
13,trailing_ema,0.0,0.0,-4084880.3571,4084880.3571,-1.0052,-0.7089279757134778,-0.9999999999999996,1716756.4794118698,-0.9999999999999996,-1800.2998488950452,0.0,1800.2998488950452,2660.0022036139267,3855.832966064344,0.0,0.0,0.0,32.54517408550022,2269,UNSTABLE,1.0,0.0,0.0
