rank,variant,profit_factor,winrate,total_pips,max_drawdown,sharpe,sortino,calmar,ulcer_index,recovery_factor,expectancy,avg_win,avg_loss,mae_mean,mfe_mean,mae_winners,mfe_winners,profit_captured_pct,avg_duration_bars,longest_loss_streak,wf_stability,mc_prob_ruin,mc_prob_profit,stability_score
1,partial_close,1.8502243944870636,54.0526,71045.9286,2125.1857,0.2602,0.5326638753100204,33.43045649791956,554.4646415466607,33.43045649791956,7.877362076885307,31.884370857025026,20.038701610140475,16.650116420889212,29.868932254130172,7.63881025641022,46.018092307692314,69.29,11.276970839339173,55,MARGINAL,0.0,1.0,51.73
2,rr_1_3,1.0616633869951206,29.244,5899.7036,5761.4143,0.0251,0.04861383425424533,1.024002663036607,2250.575690422233,1.024002663036607,0.9047237496440073,53.26463592778489,20.73601151774105,22.123830700812736,28.884020855696985,7.83812270582063,63.886733088620886,83.37,14.848642846189234,73,UNSTABLE,0.0115,0.977,6.92
3,current_production,1.0173890824636938,22.9304,1803.2036,8122.8429,0.0068,0.014325753472431554,0.22199168482534243,3289.9215763657508,0.22199168482534243,0.27694725409747095,70.66353458999147,20.66509636736322,23.440070649669774,32.72881277837506,7.728667113194893,80.94079035498994,87.3,19.7233911841499,214,UNSTABLE,0.6605,0.333,0.0
